geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
NG,22,16,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
QA,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
TH,22,10,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
VN,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
AE,23,8,-69.20275986278288,45.27432853102379,06/01/20 - 06/07/20
BR,23,8,-69.20275986278288,45.27432853102379,06/01/20 - 06/07/20
CA,23,178,-69.20275986278288,45.27432853102379,06/01/20 - 06/07/20
JM,23,4,-69.20275986278288,45.27432853102379,06/01/20 - 06/07/20
MX,23,16,-69.20275986278288,45.27432853102379,06/01/20 - 06/07/20
AE,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
AU,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
BR,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
CA,27,488,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
CN,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
CO,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
EG,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
GT,27,62,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
JO,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
JP,27,8,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
KE,27,8,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
KG,27,12,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
MX,27,93,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
NG,27,13,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
PH,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
SD,27,12,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
SG,27,21,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
SO,27,28,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
TH,27,4,-94.19830560457335,46.3491103788664,06/01/20 - 06/07/20
